Quantil,Halstead Volume,Cyclomatic Complexity (CC),Lines Of Code (LOC),Microsoft Maintainability Index (MI),Maintainability Index (MI) - calculated
0.95,741.06,5.0,37.0,84.0,45
0.95001,741.06,5.0,37.0,84.0,45
0.95002,741.0941151999984,5.0,37.0,84.0,45
0.95003,741.1675864000001,5.0,37.0,84.0,45
0.95004,741.18,5.0,37.0,84.0,45
0.95005,741.2380929999988,5.0,37.0,84.0,45
0.95006,741.3687592000008,5.0,37.0,84.0,45
0.95007,741.64,5.0,37.0,84.0,45
0.95008,742.38,5.0,37.0,84.0,45
0.95009,742.38,5.0,37.0,84.0,45
0.9501,742.38,5.0,37.0,84.0,45
0.95011,742.48,5.0,37.0,84.0,45
0.95012,742.7811728,5.0,37.0,84.0,45
0.95013,742.8,5.0,37.0,84.0,45
0.95014,742.8,5.0,37.0,84.0,45
0.95015,742.8,5.0,37.0,84.0,45
0.95016,743.0278064000004,5.0,37.0,84.0,45
0.95017,743.09,5.0,37.0,84.0,45
0.95018,743.09,5.0,37.0,84.0,45
0.95019,743.34,5.0,37.0,84.0,45
0.9502,743.4,5.0,37.0,84.0,45
0.95021,743.46,5.0,37.0,84.0,45
0.95022,743.6603435999988,5.0,37.0,84.0,45
0.95023,743.9503525999977,5.0,37.0,84.0,45
0.95024,743.96,5.0,37.0,84.0,45
0.95025,744.0,5.0,37.0,84.0,45
0.95026,744.1041207999998,5.0,37.0,84.0,45
0.95027,744.14,5.0,37.0,84.0,45
0.95028,744.14,5.0,37.0,84.0,45
0.95029,744.27,5.0,37.0,84.0,45
0.9503,744.27,5.0,37.0,84.0,45
0.95031,744.27,5.0,37.0,84.0,45
0.95032,744.27,5.0,37.0,84.0,45
0.95033,744.31,5.0,37.0,84.0,45
0.95034,744.31,5.0,37.0,84.0,45
0.95035,744.63,5.0,37.0,84.0,45
0.95036,744.63,5.0,37.0,84.0,45
0.95037,744.63,5.0,37.0,84.0,45
0.95038,744.7,5.0,37.0,84.0,45
0.95039,744.7,5.0,37.0,84.0,45
0.9504,744.8071999999986,5.0,37.0,84.0,45
0.95041,744.99,5.0,37.0,84.0,45
0.95042,744.99,5.0,37.0,84.0,45
0.95043,745.0,5.0,37.0,84.0,45
0.95044,745.07,5.0,37.0,84.0,45
0.95045,745.1742859999987,5.0,37.0,84.0,45
0.95046,745.243572799993,5.0,37.0,84.0,45
0.95047,745.68,5.0,37.0,84.0,45
0.95048,745.8,5.0,37.0,84.0,45
0.95049,745.8,5.0,37.0,84.0,45
0.9505,746.397930000002,5.0,37.0,84.0,45
0.95051,746.57,5.0,37.0,84.0,45
0.95052,746.5934976000001,5.0,37.0,84.0,45
0.95053,746.61,5.0,37.0,84.0,45
0.95054,746.76,5.0,37.0,84.0,45
0.95055,746.76,5.0,37.0,84.0,45
0.95056,746.76,5.0,37.0,84.0,45
0.95057,746.76,5.0,37.0,84.0,45
0.95058,746.76,5.0,37.0,84.0,45
0.95059,746.77,5.0,37.0,84.0,45
0.9506,746.77,5.0,37.0,84.0,45
0.95061,746.89,5.0,37.0,84.0,45
0.95062,747.1,5.0,37.0,84.0,44
0.95063,747.16,5.0,37.0,84.0,44
0.95064,747.27,5.0,37.0,84.0,44
0.95065,747.3526970000015,5.0,37.0,84.0,44
0.95066,747.675427599996,5.0,37.0,84.0,44
0.95067,747.86,5.0,37.0,84.0,44
0.95068,748.051854399998,5.0,37.0,84.0,44
0.95069,748.0837308000005,5.0,37.0,84.0,44
0.9507,748.14,5.0,37.0,84.0,44
0.95071,748.14,5.0,37.0,84.0,44
0.95072,748.3444415999973,5.0,37.0,84.0,44
0.95073,748.38,5.0,37.0,84.0,44
0.95074,748.38,5.0,37.0,84.0,44
0.95075,748.76,5.0,37.0,84.0,44
0.95076,748.76,5.0,37.0,84.0,44
0.95077,748.76,5.0,37.0,84.0,44
0.95078,748.7858696000004,5.0,37.0,84.0,44
0.95079,748.82,5.0,37.0,84.0,44
0.9508,749.1385519999984,5.0,37.0,84.0,44
0.95081,749.15,5.0,37.0,84.0,44
0.95082,749.15,5.0,37.0,84.0,44
0.95083,749.5,5.0,37.0,84.0,44
0.95084,749.5003143999999,5.0,37.0,84.0,44
0.95085,749.6892659999983,5.0,37.0,84.0,44
0.95086,749.82,5.0,37.0,84.0,44
0.95087,749.82,5.0,37.0,84.0,44
0.95088,749.87,5.0,37.0,84.0,44
0.95089,749.9124553999992,5.0,37.0,84.0,44
0.9509,750.0,5.0,37.0,84.0,44
0.95091,750.1535436000016,5.0,37.0,84.0,44
0.95092,750.185812,5.0,37.0,84.0,44
0.95093,750.23,5.0,37.0,84.0,44
